Entity,origin,emissions_per_kilogram,emissions_per_1000_kilocalories,land_use_per_kilogram,land_use_per_1000_kilocalories,water_scarcity_per_kilogram,water_scarcity_per_1000_kilocalories,water_withdrawals_per_kilogram,water_withdrawals_per_1000_kilocalories
Almonds,16,0.6023678597222223,0.1050286272047647,8.230926805555555,1.4233757744363884,372799.1010631944,64275.14954852303,6413.314596694445,1106.0642145054435
Apple pie,12,1.2449736986040187,0.4181817922228567,1.7651649809258605,0.5973741370294771,8193.821802142626,2607.806726625789,396.3874492328507,123.50932930247608
Apples,12,0.5073538973544973,0.8981880142107919,0.6689985968253969,1.2050805620370388,2469.089299153439,4439.5934629492085,90.3342268005291,157.48879557562728
Apricot jam,12,1.3821050899999998,0.761619667788208,1.368510216666667,0.7694789971588808,24526.64768666667,14578.83890054645,851.0487645500001,492.29612685583726
Asparagus,13,0.9256918166666668,2.7912292251248045,1.4017694694444445,3.909719057026033,25692.92859972222,81275.70124159666,310.51426297222224,966.8926714987608
Avocados,12,0.921227093548387,1.8537084481978496,1.2489312903225809,2.5133631030170216,32696.893522580645,65694.89864314282,367.41429932258063,738.4760185227804
Bagels,14,0.8028126,0.3293892767769244,2.26294722,0.9242060454469972,7919.100246,3253.0223600612885,291.3505735,120.22650744232884
Baguette,14,0.9956444215686276,0.3804042468380877,2.1990874039215687,0.8315524117905942,9360.781796862744,3635.078527383407,345.30773029215686,134.67566657383696
Banana loaf,12,1.868787355555556,0.5566496529248531,3.2725560444444444,1.0779049462569965,8368.774116666667,2299.5870428021462,444.2256801111111,126.62031790407492
Bananas,12,0.8733495729166667,0.8758025795677759,2.63982366875,2.717876609739356,331.9107443333333,397.917449540718,52.05077934583333,55.22902073007895
Beans,14,1.3733080129032258,0.8009634313043442,17.068111412903228,8.869722831454636,0.6938741096774194,0.6384033075208811,0.0837149354838709,0.0770224613294071
Beetroot,13,2.6582406426355467,8.469677269729214,4.093929838632002,12.63204254540458,292.20701918526606,1107.943326706257,11.21259708801148,38.91831006430889
Biscuits,15,3.989250537349398,1.127221384278314,7.879322971084337,2.1670784648248107,8143.742320843374,2464.747076483306,481.1757315903614,146.24950253487924
Brazil nuts,15,2.513051435714286,0.3771208666766037,12.810535014285714,1.9210967061669777,145555.7416642857,21763.596883114555,3270.798559285714,489.50818622902193
Bread,14,0.8787608464606183,0.4070624718085917,2.2412011,0.943430830624366,7726.0167181633105,3292.2233054993,241.91359511754732,103.08470461610804
Breakfast cereal,14,1.4934272760956175,0.4201741261830234,2.895190374501992,0.8234222256098253,12400.22195037968,3468.999379977918,502.1027319211156,139.3460337791607
Broccoli,13,0.8974015212121212,2.690971954149257,1.003502265151515,3.074312466734377,15385.286315757576,49658.75533239342,224.90420093939397,704.7861236514711
Cabbage,13,0.8902840710144927,3.048956288035074,0.8027023246376812,2.749644368945772,4601.958170434783,15761.801901380735,131.3118252753623,449.6066032098975
Caesar salad,15,2.0791893426509587,1.4961306001697583,2.7510760230856173,2.007637198545878,10911.911533060991,8148.632359649248,305.7663358366555,222.98348219497157
Carrot cake,15,2.0107220066666667,0.6438837663264853,2.7843686,0.8607057502560945,9749.652841333334,2857.9749360695014,516.9922559333334,151.3920565325341
Carrots,13,0.935163376,2.3336180710159606,1.601823487,4.012169393136002,771.3227740399999,2399.7238370029804,14.929848171,42.84397550921489
Cashew nuts,16,2.087644250617284,0.3733291135733053,11.720881622222224,2.0528331609869155,163311.31540802467,28334.141077023767,3504.3436417283947,610.5471307440921
Cauliflower,13,0.8917262454545455,2.5954924768123444,0.788343706060606,2.2795007181621267,5347.111227272727,15631.520986921094,136.93994,400.1072082635629
Cereal bars,15,2.8533841636861315,0.7294720490024574,5.560588325729928,1.3694840667446166,27611.289422481757,6389.844902253525,843.372939739051,200.0664715360014
Cherry tomatoes,12,2.26636,12.173430351437077,0.930353076923077,4.845475020747502,7488.009862307694,29391.25172435902,318.56528153846165,1599.887343807783
Chia seeds,16,1.2205535,0.341371551473385,3.4277066,0.9586810574362876,7534.34843,2107.250696417784,210.9035453333333,58.986738788326285
Chickpeas,16,1.3443528666666666,0.594860302173495,15.565608055555556,5.913544399366399,9747.767148888888,5616.60146912132,161.38535833333336,98.91087092411952
Chocolate biscuits,15,5.083679001818182,1.2174627505782805,13.565422218484848,3.0126194473613856,8165.851644251515,1862.2891888070076,524.2583563018181,117.41256586555002
Chocolate cake,15,3.9521178780487807,0.9775200806317556,10.330807592682929,2.6524752095780118,8974.30203804878,2203.6082277947057,523.0234054121951,128.1385057440564
Chocolate cereals,15,2.8776255585585586,0.9363359859588566,7.379762667567568,2.104914788336181,30695.354600144143,7256.624994671771,899.7228275630631,231.9216216671876
Chocolate spread,15,5.372300393750001,1.0526303750452883,9.384214210714283,1.8203832505910011,42638.17254714286,7685.783607975994,1215.291286044643,228.0066183677779
Coconut oil,15,0.5287412809523809,0.3390065222153041,0.7344970952380951,0.4271874432166843,6763.57605952381,4759.137627020883,345.98976047619044,252.447704561703
Cookies,15,3.3572777805192344,0.7698623027140273,7.1841136765092575,1.6253862106562322,14563.952825779585,3495.314721403028,765.9077675918891,181.21071610608405
Cottage pie,15,11.851271288888888,9.550542030431751,24.564192800000004,19.82043561854198,22821.1221,18390.394294978003,1100.1531733333334,887.0038863186293
Courgettes,13,0.846479423076923,3.2540149479082587,1.2674798173076924,4.761213352696596,27733.458076903844,107680.21463642092,322.9623508846154,1243.231058400526
Couscous,14,1.1579787751631003,0.8528795102303496,2.951479593207873,2.083871621314363,13862.811205845685,13338.66005192454,333.85393095861025,265.07198887154715
Cracker biscuits,14,2.4484662921875,0.5914839902756013,4.458004853125,1.061049881505136,18728.168233953907,4727.206053000028,787.9183487093751,197.66473238780395
Crisps,15,3.031724447874016,0.8152002811007388,7.525948306062991,1.96785719671322,11529.82911517638,3237.490824727616,420.95062989464566,117.66540000953464
Croissants,15,1.6822277803614705,0.3984281850564978,3.670050556025579,0.8795282025442868,9674.86021421196,2291.711031855088,366.3367338005922,87.60123853881639
Cucumber,13,0.8471137361163819,4.115565019829921,1.080248658570525,5.391893952123724,27682.78065612853,137648.28333908794,318.7814113004428,1572.4309333971005
Dark chocolate,15,20.62003664137931,3.6915178413637904,48.78823265344828,9.642099515448365,3196.4791863103446,583.9581696481393,301.4868316448276,54.86074972019709
Doughnuts,15,2.199664934458113,0.5851883933921237,3.038467878525881,0.8069338626034459,6221.497015971316,1731.4968947186403,252.75561714438595,70.15148036089491
Falafels,14,1.098106175,0.5128938512804742,6.5675244875,3.144614484150745,4303.70192875,1954.2707328072104,81.75136895,37.01925886528292
Flapjack,15,1.9476826133333331,0.4442169379814168,3.994266948333333,0.9092736977884234,8508.627858666667,1956.6803716728316,473.4238545166667,108.51442963300832
Frozen chips (french fries),15,0.7534718473684211,0.5310242993242185,2.105976590789474,1.455529837609086,1796.4606835151314,1324.6438301110743,49.58995175394737,35.11073395808305
Frozen jacket potatoes,15,0.5175197588235294,0.644653518188277,1.1024362882352945,1.3743123527071872,874.7261677058823,1096.3438784715895,15.157336570588235,18.9700531769072
Frozen mashed potato,15,0.8266427090909091,0.8713561515952553,1.250121709090909,1.3160209805800205,1349.0418352727272,1422.6990911676146,45.348681118181815,47.9590242482648
Frozen onion rings,15,0.7711746933333334,0.3002176512543363,2.103162206666667,0.8027106679180198,3483.442973333333,1352.904871736953,87.99821924666666,34.10147404689988
Frozen potato wedges,15,0.66477544,0.480019771371156,1.68886116,1.2163008763764132,1512.0090567333332,1102.612054209316,34.65756647333333,25.38850526715968
Frozen roast potatoes,15,1.203417143902439,0.9455872584450328,2.443412731707317,1.9206786365440915,2611.2894863902443,2084.0678210070546,100.72029047560976,80.02046113499966
Frozen sweet potato fries,15,0.4098848176470587,0.2816726317058862,1.967661623529412,1.3629672827035724,8263.908129411766,5810.035525412372,110.32078095294118,76.66988952021475
Fruit cake,15,3.452116065517241,0.9676893030022012,2.203406451724138,0.6070727594654368,14778.853921206895,4133.98401893324,551.0160840862069,153.336092430035
Garden peas,13,1.00383673125,0.912950793673248,6.60847461875,6.020375873570078,24784.79111875,23240.09115803333,346.7919445625,324.43575293912625
Granola,15,1.7811926156448203,0.429799816814155,5.141597698942918,1.2194694376174249,18338.64540158562,4170.0317315022185,499.27591250782245,115.1066972987617
Grapes,12,8.278876373015873,12.671418777595663,1.5365324888888887,2.349844833928316,3122.2244565079363,4768.026429666842,46.54826160476191,70.98891654878949
Haddock risotto,15,4.898891066666667,3.349294527655875,3.738225866666667,2.5560875117067487,17220.136400000003,11773.498481690123,1172.09625,801.5191455328784
Ice lollies,15,1.3143929375,1.0706999052824266,1.9413439875000005,1.3516635476656178,20251.384305833333,9238.561913329651,653.0928727916667,446.32594438793086
Kale,13,0.9034191734693876,2.641802627481744,0.8103920489795918,2.3699110486980475,4714.708586122449,13786.077276292504,133.3457062857143,389.91043391029285
Kiwis,12,1.6137066606060604,2.795142279196842,1.0652690893939394,1.8962666519706988,13204.745031212122,23704.807206660866,726.6945575606062,1306.5681378358
Lasagne sheets,15,1.96138175,0.7251143747503258,3.551825222413793,1.3541093244843845,21190.656471024136,7907.976590869354,834.8795131862071,300.3090327429963
Lemons,12,0.4701528599999999,1.1016914512596665,0.6113751457142858,1.4809500749051674,9155.021509142856,20826.584304194534,123.2619118,288.44874442007443
Lentils,16,2.536520218918919,1.963402321607242,27.474860575675677,20.53519063733603,746.9618568648649,759.5562092269289,14.314525478378378,15.857079585857546
Lettuce,13,4.926023126492997,25.32429906907169,6.781334481008403,34.68156014388527,23105.835613994444,130338.06226421578,294.9870220729468,1672.0128546612318
Limes,12,0.4630078571428571,1.4209943690364868,0.6261871428571429,1.9984802998947169,8802.706197857144,26083.544971717874,121.7007714285714,373.2334354318396
Marmalade,15,1.5489212745945946,0.7631642318181505,1.73009918,0.7576715553019703,13067.233767351352,5914.371933012906,917.8675170248648,369.13433831111774
Melon,12,1.0565359743589744,2.5724132276623064,0.987464335897436,2.33220835157136,11885.66284205128,27030.27373540116,619.1902868205128,1388.8973737265162
Mixed salad,15,0.9209,3.526904262647568,1.1609733333333332,3.989306181566125,28975.097833333333,92398.7517451576,343.0868683333333,1193.9203253492335
Muesli,15,2.271910570798898,0.7112110895284025,3.953067796418732,1.1579615070306768,13749.667275096415,3894.9396202580783,343.1821637628099,99.5925191836666
Muffins,15,2.5836309558468336,1.220356249876971,3.076159288199736,1.0219946537642297,7872.708162680708,2722.528770069492,412.9297207973426,130.56090554350035
Mushrooms,13,2.3529166740331493,7.880979359147524,2.8723417099447515,12.976246023078014,87304.04857182321,389086.0138211631,1459.0838797513811,6402.3811539821545
Naan,14,1.0132342196078432,0.3694972088941423,2.2928056901960785,0.83389750067454,8656.553853921569,3153.4937103416023,282.89760349019605,103.07594448649866
Nut loaf,15,0.7161309571428571,0.4955294787743369,2.004030042857143,1.3858924577576652,48441.68058571428,33568.72021366474,885.1011361428572,613.4534485531492
Olive oil,12,5.184628231372549,0.5919589721824361,21.707958043137253,2.4783182319439154,109146.2891882353,12472.33846483716,1411.242442745098,161.25459471823947
Onions,13,0.3628603477707006,1.0140354489550092,0.3953572643312102,1.0891426887884754,315.7615157006369,720.8190044920896,53.86059318025478,151.41972973675385
Oranges,12,0.4665495395348837,1.076517295447458,0.6664983744186047,1.4867874000933683,7715.904773720931,16980.456946715996,115.53649513953488,255.6253964839117
Pain au chocolat,15,2.8095122264047983,0.7344787948323874,4.828993310673254,1.276534302061417,7522.756968240794,1991.5728600461864,307.2127896754602,80.65527777367801
Pancakes,14,1.5478088875481386,0.6148320798229631,2.441447486533516,0.9759692864959504,8778.749784460419,3450.685182937965,340.55935759070064,134.4037358257045
Parsnips,13,0.989606512,1.51144240128053,1.809350044,2.7738898524328657,1110.5161798,3029.873056231429,12.653977848,34.21129223741604
Pasta shells,14,1.0255827666666666,0.2869391586973908,3.5033247666666667,0.9801623541970048,12889.329933333334,3606.2318359206265,333.5653423333333,93.32629473569446
Peanuts,16,3.1462268521739127,0.5691906909205455,8.310863473913043,1.4542216042738936,74295.36079086957,12925.982110894493,2169.6548552608697,389.0636400694008
Pears,12,0.9255553739583332,1.661147239277209,1.0134629541666669,1.8190214140461247,14139.939864895832,25411.513512193334,783.3454527291667,1406.3930708038297
Pecan nuts,16,2.5159416210526317,0.4217104413962379,11.730031494736844,1.835971572773808,132414.07337368422,22488.88826104066,3046.9752990526317,506.6522231263899
Penne pasta,15,1.6251067503703704,0.6112010740973426,3.7357361029629623,1.5232207976191117,16664.938564404445,6185.897027156503,614.1643332614815,228.52613831394456
Peppers,13,0.9186621428571428,2.7222885361590663,1.2399449999999992,3.675391345946554,32159.961357142853,95310.72885322467,362.9267492857144,1075.5012001073812
Pineapple,12,0.9320080325,1.9394608789621348,1.01530539,2.112082531717341,14274.44631,29680.15481206181,793.0396442,1649.7223982739
Pitta bread,14,0.5635607857142857,0.2542043261736352,1.8040658357142856,0.8056564815329487,4853.897026114286,2189.2857415110493,134.3955014857143,60.98793066990407
Popcorn,15,1.813625906,0.4192108519332099,3.1817772333333334,0.7343156922792996,8631.517364733334,2029.122750500647,316.845053608,72.82340644626908
Poppadoms,15,1.50061802,0.3126517111948461,4.95539256,1.032432033412912,7616.897846,1587.0488101464305,293.5786351333333,61.16503491006035
Porridge (oatmeal),14,1.555169024137931,0.4427356374920254,4.985335013218391,1.414826350437798,8600.315522241379,2432.2949114627827,232.5652970258621,65.33769129696935
Potato croquettes,15,0.7742251222222223,0.362325630954369,1.4070545888888888,0.6578628057156894,2664.93791,1240.2180898738677,71.9184978,33.49692650933654
Potatoes,14,0.2072761620938628,0.2321241284551919,0.804448725631769,0.952186023000824,7340.237185732853,9014.092837483302,80.8085800624549,98.68406956372216
Protein bar,15,3.3728507866666666,1.8967594106800396,11.128268446666668,3.0953558533117804,67106.94949622222,16257.297240999951,1423.9165438488888,346.4416283878542
Protein shake,15,1.7437289185185187,2.9464055354880427,5.642653148148148,3.364558128660939,6877.318103333333,10061.269812685454,322.9014169259259,465.0957227692373
Pumpkin seeds,14,1.3239754169230769,0.3177728569148958,3.336552010769231,0.8165643179057611,7409.417526923078,1811.7001272064,212.6054338307692,52.07794271286852
Quiche,15,4.666832655555556,1.867128173022692,5.589517788888889,2.245895304024468,12242.389093333331,4949.249457140394,455.8618671111111,183.1886312507888
Quinoa,14,1.1386422326086956,0.4096006210790415,3.231874423913044,1.1554588229103977,7388.279832173914,2751.03905013864,210.35475422173917,77.86859840507356
Rapeseed oil,15,3.288695422222222,1.1084640092654208,7.214231961111111,1.0744186501383144,3755.4483977777777,953.220976863308,88.67183560555554,21.872989441717426
Raspberries,12,8.3709720025,24.614977907373135,1.5448360025000003,4.542864209053636,3090.698624000001,9111.996846772408,45.713304,134.69262396994864
Raspberry jam,15,5.107337593055555,3.067139099394902,1.958810109722222,0.9908464399598164,11008.5771725,5004.988650134944,786.81067525,334.3111065730289
Rice,14,3.925909801226994,2.047880252851582,2.9366605355828224,1.6400121506480885,43467.18888476688,22782.53063080949,2114.437865009407,1081.4246582622666
Rice noodles,15,3.411126114285714,1.4360200583480212,2.4880236619047618,1.004569966348495,38578.81926190476,15977.245787853508,1869.5568466190475,780.1869755667116
Shepherd's pie,15,7.737124814285714,5.535570319355741,11.04638827142857,7.903258320429903,2672.6386914285717,1912.2427454704848,74.28052877142856,53.131375962738055
Shortbread biscuits,15,2.223782583333333,0.4295585004535641,3.0729300000000004,0.5948009112762414,9510.628866666668,1851.937230339156,514.0502986666667,99.63099011912306
Sourdough bread,14,0.851167273619632,0.3447473452459472,2.371923044785276,0.9694744759799274,8694.92046395092,3585.2728003463817,248.65015546625767,100.02099987874018
Soy desert,15,1.0872644037037036,1.292242002449495,1.979015255555556,2.356372030225932,2670.49205,3194.765731311578,289.26426044444446,345.79000019676954
Spaghetti,15,1.6460149465648857,0.7668989946019614,3.8149462610687017,1.4519729359464926,13985.7050805687,5735.620544461574,500.9899480885497,196.9505953014039
Spaghetti bolognese,15,7.83470288,4.614566326611547,15.15967888,8.921030733769927,20838.93658,11943.68732062744,844.7613337999999,490.5615029619573
Spinach,13,1.0091279447881063,3.774241391732385,0.9922938889942162,3.355186732409358,11379.193479893987,44369.58773445831,269.9605126595278,950.653371309078
Sponge cake,15,1.8774483782608695,0.4857996500945762,2.395599504347826,0.6232399582924864,9002.760913043478,2352.5738639707547,487.8855319565218,125.80622028075622
Strawberries,12,3.241715,5.180194958001879,3.44723,5.508603768398152,12006.428495,19186.0297260583,349.2011275,558.0163339479477
Strawberry jam,15,2.5966625545454547,1.985822126712109,2.968536572727273,1.5208677737474214,15682.252042454546,7334.324809404236,949.7015981818184,415.7443155727528
Sugar,15,1.851685668181818,0.4649769212047688,2.153669372727273,0.539468560767948,11123.746327272727,2786.4508385283034,1202.390047272727,302.08063519845774
Sunflower oil,16,3.6613972142857145,0.4245406921212547,19.461267114285715,2.25705277042866,1279.4895827857144,148.53489142523645,23.193771392857144,2.689366169311192
Sunflower seeds,16,1.9344241125,0.3240774224002641,10.97975300625,1.8390147241495896,812.8472519375,135.33197004597338,14.26395734375,2.3824043948677667
Sweetcorn,13,0.9712034777777776,1.2893299815595625,2.082797161904762,2.752130483385002,7993.130957301588,10685.372547461398,157.23502601587302,208.98261275144583
Tofu,16,1.0208654566666666,0.5425097650945467,3.0348171733333333,2.1298532582871927,1032.4459432366666,472.5427813052676,31.183341956666663,14.292015101388992
Tomato ketchup,15,2.609794211941467,2.37888922388229,1.667763272560234,1.352345231820396,9008.075734236276,7985.7232514543475,494.9507034273989,464.84608876063743
Tomatoes,13,2.271515456192983,11.728078966099202,0.8890183432280702,4.59135204963094,4959.105277929035,25583.60051960925,291.66502367098246,1505.6961809218342
Tortilla wraps,14,0.9485836666666668,0.393647572438285,2.2561128055555555,0.9792290052923316,8711.003174444446,3648.956959475358,231.8360277777778,98.88137842310464
Vegan pizza,15,1.948103649147688,1.1761882005003823,2.0462173942128974,1.269905557727682,10612.184940256871,6462.250008039561,293.8913807509125,179.7528666037719
Vegetable lasagne,15,3.3761406499999995,2.679670932386439,4.149298441666667,3.312006556474597,11075.302178333332,8836.892469389537,382.99411375,304.57562370161565
Vegetarian curry,15,1.3091650341463414,1.3337696510024175,2.275063980487805,2.292283373588192,13161.39969902439,13735.8014485609,374.7971273170732,375.37567243233497
Vegetarian pizza,15,5.232975720133187,1.8916348058491657,6.520732042668087,2.381732503887132,14237.87038094407,5440.2529592198,579.2531132803676,215.28213829382184
Walnuts,16,2.4163077789473686,0.4095802359285577,11.875851828947368,1.924057074048142,160556.43612526316,26311.929414925515,3458.072291255263,563.9028450983708
Watermelon,12,0.96940275,2.4640874080440978,1.0098785,2.6167709902281424,13528.7474105,35695.620909027675,743.3134685,1971.2602764364856
